Well,Fluor,Cq
M10,HEX,NaN
M11,HEX,27.24513858
M12,HEX,NaN
M13,HEX,26.32463152
M14,HEX,NaN
M15,HEX,28.00347225
M16,HEX,NaN
M17,HEX,26.47407214
M18,HEX,NaN
M19,HEX,27.42964172
M20,HEX,NaN
M21,HEX,NaN
M22,HEX,NaN
M23,HEX,NaN
M24,HEX,NaN
N01,HEX,27.45178497
N02,HEX,NaN
N03,HEX,27.23212086
N04,HEX,NaN
N05,HEX,26.66182396
N06,HEX,NaN
N07,HEX,26.78192862
N08,HEX,NaN
N09,HEX,26.52740505
N10,HEX,NaN
N11,HEX,27.42226883
N12,HEX,NaN
N13,HEX,26.62091819
N14,HEX,NaN
N15,HEX,28.22767488
N16,HEX,NaN
N17,HEX,26.94238184
N18,HEX,NaN
N19,HEX,27.64918569
N20,HEX,NaN
N21,HEX,NaN
N22,HEX,NaN
N23,HEX,NaN
N24,HEX,NaN
O01,HEX,27.52780404
O02,HEX,NaN
O03,HEX,26.74949089
O04,HEX,NaN
O05,HEX,26.37745344
O06,HEX,NaN
O07,HEX,26.59758276
O08,HEX,NaN
O09,HEX,26.38488058
O10,HEX,NaN
O11,HEX,27.34541252
O12,HEX,NaN
O13,HEX,26.88194365
O14,HEX,NaN
O15,HEX,28.22033284
O16,HEX,NaN
O17,HEX,26.55404405
O18,HEX,NaN
O19,HEX,27.59816028
O20,HEX,NaN
O21,HEX,NaN
O22,HEX,NaN
O23,HEX,NaN
O24,HEX,NaN
P01,HEX,NaN
P02,HEX,NaN
P03,HEX,NaN
P04,HEX,NaN
P05,HEX,NaN
P06,HEX,NaN
P07,HEX,NaN
P08,HEX,NaN
P09,HEX,NaN
P10,HEX,NaN
P11,HEX,NaN
P12,HEX,NaN
P13,HEX,NaN
P14,HEX,NaN
P15,HEX,NaN
P16,HEX,NaN
P17,HEX,NaN
P18,HEX,NaN
P19,HEX,NaN
P20,HEX,NaN
P21,HEX,NaN
P22,HEX,NaN
P23,HEX,NaN
P24,HEX,NaN
